warehouse,floor_no,rack_no,location_id,x,y,z
5BTG,3,35,3354111,-3772.0,3518.0,570.0
5BTG,3,35,3354112,-3772.0,3653.0,570.0
5BTG,3,35,3354121,-3912.0,3518.0,570.0
5BTG,3,35,3354122,-3912.0,3653.0,570.0
5BTG,3,35,3354131,-4052.0,3518.0,570.0
5BTG,3,35,3354132,-4052.0,3653.0,570.0
5BTG,3,35,3354141,-4192.0,3518.0,570.0
5BTG,3,35,3354142,-4192.0,3653.0,570.0
5BTG,3,35,3354151,-4332.0,3518.0,570.0
5BTG,3,35,3354152,-4332.0,3653.0,570.0
5BTG,3,35,3354161,-4472.0,3518.0,570.0
5BTG,3,35,3354162,-4472.0,3653.0,570.0
5BTG,3,35,3354171,-4612.0,3518.0,570.0
5BTG,3,35,3354172,-4612.0,3653.0,570.0
5BTG,3,35,3354181,-4752.0,3518.0,570.0
5BTG,3,35,3354182,-4752.0,3653.0,570.0
5BTG,3,35,3354191,-4892.0,3518.0,570.0
5BTG,3,35,3354192,-4892.0,3653.0,570.0
5BTG,3,35,3354201,-5032.0,3518.0,570.0
5BTG,3,35,3354202,-5032.0,3653.0,570.0
5BTG,3,35,3354211,-5172.0,3518.0,570.0
5BTG,3,35,3354212,-5172.0,3653.0,570.0
5BTG,3,35,3354221,-5312.0,3518.0,570.0
5BTG,3,35,3354222,-5312.0,3653.0,570.0
5BTG,3,35,3354231,-5452.0,3518.0,570.0
5BTG,3,35,3354232,-5452.0,3653.0,570.0
5BTG,3,35,3354241,-5592.0,3518.0,570.0
5BTG,3,35,3354242,-5592.0,3653.0,570.0
5BTG,3,35,3354251,-5732.0,3518.0,570.0
5BTG,3,35,3354252,-5732.0,3653.0,570.0
5BTG,3,35,3354261,-5872.0,3518.0,570.0
5BTG,3,35,3354262,-5872.0,3653.0,570.0
5BTG,3,35,3354271,-6012.0,3518.0,570.0
5BTG,3,35,3354272,-6012.0,3653.0,570.0
5BTG,3,35,3354281,-6152.0,3518.0,570.0
5BTG,3,35,3354282,-6152.0,3653.0,570.0
5BTG,3,35,3354291,-6292.0,3518.0,570.0
5BTG,3,35,3354292,-6292.0,3653.0,570.0
5BTG,3,35,3354301,-6432.0,3518.0,570.0
5BTG,3,35,3354302,-6432.0,3653.0,570.0
5BTG,3,35,3354311,-6572.0,3518.0,570.0
5BTG,3,35,3354312,-6572.0,3653.0,570.0
5BTG,3,35,3354321,-6712.0,3518.0,570.0
5BTG,3,35,3354322,-6712.0,3653.0,570.0
5BTG,3,35,3354331,-6852.0,3518.0,570.0
5BTG,3,35,3354332,-6852.0,3653.0,570.0
5BTG,3,35,3354341,-6992.0,3518.0,570.0
5BTG,3,35,3354342,-6992.0,3653.0,570.0
5BTG,3,35,3354351,-7132.0,3518.0,570.0
5BTG,3,35,3354352,-7132.0,3653.0,570.0
5BTG,3,35,3354361,-7272.0,3518.0,570.0
5BTG,3,35,3354362,-7272.0,3653.0,570.0
5BTG,3,35,3354371,-7412.0,3518.0,570.0
5BTG,3,35,3354372,-7412.0,3653.0,570.0
5BTG,3,35,3354381,-7552.0,3518.0,570.0
5BTG,3,35,3354382,-7552.0,3653.0,570.0
5BTG,3,35,3354391,-7692.0,3518.0,570.0
5BTG,3,35,3354392,-7692.0,3653.0,570.0
5BTG,3,35,3354401,-7832.0,3518.0,570.0
5BTG,3,35,3354402,-7832.0,3653.0,570.0
5BTG,3,35,3354411,-7972.0,3518.0,570.0
5BTG,3,35,3354412,-7972.0,3653.0,570.0
5BTG,3,35,3354421,-8112.0,3518.0,570.0
5BTG,3,35,3354422,-8112.0,3653.0,570.0
5BTG,3,35,3354431,-8252.0,3518.0,570.0
5BTG,3,35,3354432,-8252.0,3653.0,570.0
5BTG,3,35,3354441,-8392.0,3518.0,570.0
5BTG,3,35,3354442,-8392.0,3653.0,570.0
5BTG,3,35,3354451,-8532.0,3518.0,570.0
5BTG,3,35,3354452,-8532.0,3653.0,570.0
5BTG,3,35,3354461,-8672.0,3518.0,570.0
5BTG,3,35,3354462,-8672.0,3653.0,570.0
